-0.204135, -0.488759, 0.027943, 
-0.216556, -0.472198, 0.027943, 
-0.213303, -0.277009, 0.027943, 
-0.213007, -0.179415, 0.027943, 
-0.211824, -0.069991, 0.027943, 
-0.210937, -0.003745, 0.027943, 
-0.208867, 0.07433, 0.027943, 
-0.206797, 0.13614, 0.027943, 
-0.20236, 0.196471, 0.027943, 
-0.197037, 0.242311, 0.027943, 
-0.190235, 0.278391, 0.027943, 
-0.17811, 0.320682, 0.027943, 
-0.158591, 0.35972, 0.027943, 
-0.132566, 0.396096, 0.027943, 
-0.09826, 0.430697, 0.027943, 
-0.058039, 0.455835, 0.027943, 
-0.011904, 0.473284, 0.027943, 
0.03157, 0.480973, 0.027943, 
0.072087, 0.482156, 0.027943, 
0.104322, 0.475354, 0.027943, 
0.12946, 0.464116, 0.027943, 
0.146613, 0.453765, 0.027943, 
0.162287, 0.440161, 0.027943, 
0.176779, 0.4236, 0.027943, 
0.1892, 0.404672, 0.027943, 
0.197776, 0.383379, 0.027943, 
0.204282, 0.35765, 0.027943, 
0.204874, 0.317429, 0.027943, 
0.198368, 0.290221, 0.027943, 
0.190383, 0.269519, 0.027943, 
0.179736, 0.247043, 0.027943, 
0.16347, 0.222201, 0.027943, 
0.138037, 0.194105, 0.027943, 
0.121771, 0.181093, 0.027943, 
0.102252, 0.16808, 0.027943, 
0.081846, 0.15625, 0.027943, 
0.072678, 0.153293, 0.027943, 
0.072382, 0.139689, 0.027943, 
0.094563, 0.136732, 0.027943, 
0.128573, 0.132591, 0.027943, 
0.170864, 0.120762, 0.027943, 
0.202508, 0.103313, 0.027943, 
0.219365, 0.087934, 0.027943, 
0.237405, 0.065162, 0.027943, 
0.251305, 0.041799, 0.027943, 
0.261952, 0.016661, 0.027943, 
0.268162, -0.004928, 0.027943, 
0.27319, -0.02356, 0.027943, 
0.274373, -0.046332, 0.027943, 
0.274077, -0.072653, 0.027943, 
0.27112, -0.097199, 0.027943, 
0.263431, -0.126182, 0.027943, 
0.252784, -0.152207, 0.027943, 
0.238884, -0.17764, 0.027943, 
0.220253, -0.200708, 0.027943, 
0.200734, -0.220227, 0.027943, 
0.166724, -0.245365, 0.027943, 
0.134784, -0.261039, 0.027943, 
0.102844, -0.272573, 0.027943, 
0.072974, -0.280262, 0.027943, 
